Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2006-2009,Rensselaer,Revisits,Housing condition,Smell of scented products,No,127,84.1,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Orange,Revisits,Housing condition,Improperly stored flammables,No,520,97.7,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Clinton,Initial visits,Housing information,Units in building,5 units,10,1.1,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Schenectady,Revisits,Housing condition,Smoking allowed in home,Yes,49,68.1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Oneida,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,826,,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Westchester,Initial visits,Housing condition,"Mice, evidence or reported",Unknown,30,2.1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Columbia,Revisits,Housing condition,Improperly stored garbage near building,No,57,82.6,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Monroe,Initial visits,Respondent demographics,Race: Asian,Asian,2,0.2,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Rockland,Initial visits,Housing condition,Functional fire extinguisher,Yes,871,48.2,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Westchester,Revisits,Housing condition,"Cockroaches, evidence or reported",No,202,85.2,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Schenectady,Initial visits,Housing condition,Food/harborage for cockroaches,No,1170,89.4,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Onondaga,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,1795,60.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,38,86.4,10/27/2017,"(40.726966, -74.005966)"
2014-2019,Cortland,Revisits,Housing condition,Smell of scented products,Yes,2,0.9,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Monroe,Revisits,Housing condition,Functional smoke detectors in common areas,Improved,1,0.4,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Columbia,Initial visits,Housing information,Age of building,Unknown,82,21,10/27/2017,"(42.276913, -73.682168)"
2009-2014,Westchester,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,12,0.6,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Niagara,Revisits,Housing condition,Plumbing leaks,Unknown,2,0.3,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Erie,Revisits,Housing condition,Deteriorated paint inside,Unknown,3,1.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Oneida,Revisits,Housing condition,Improperly stored garbage inside,No,202,98.1,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Rockland,Revisits,Housing condition,Plumbing leaks,Unknown,3,1.2,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rockland,Initial visits,Housing condition,"Mice, evidence or reported",No,1197,93.5,10/27/2017,"(41.127287, -74.017033)"
2014-2019,NYC-Queens,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,1,25,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Rockland,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,219,,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Clinton,Initial visits,Respondent demographics,Race: Asian,Asian,3,0.1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Westchester,Initial visits,Housing information,Owner occupied,No,14,26.4,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Broome,Revisits,Housing condition,Effective housecleaning,Improved,5,2.3,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Monroe,Initial visits,Housing condition,Smell of scented products,No,932,93.6,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Monroe,Revisits,Housing condition,Working carbon monoxide detector,Unknown,2,0.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Onondaga,Initial visits,Housing condition,Deteriorated paint inside,Yes,518,19,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Schenectady,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,229,73.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Westchester,Revisits,Housing condition,Functional smoke detectors in common areas,No,7,26.9,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Clinton,Initial visits,Housing information,Rental assistance,Yes,136,38.9,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Erie,Initial visits,Housing information,Rental assistance,Yes,746,40.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Albany,Initial visits,Respondent demographics,Receives public assistance,No,5,21.7,10/27/2017,"(42.678066, -73.814233)"
2006-2009,All counties,Initial visits,Housing condition,Working carbon monoxide detector,No,10176,70.9,10/27/2017,
2009-2014,Oneida,Initial visits,Housing condition,Plumbing leaks,No,12,92.3,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Orange,Revisits,Housing condition,Functional fire extinguisher,No,135,57.4,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Tompkins,Revisits,Housing condition,Improperly stored flammables,Improved,5,1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tompkins,Initial visits,Housing condition,Functional fire extinguisher,Unknown,44,3,10/27/2017,"(42.461024, -76.478784)"
2006-2009,All counties,Initial visits,Housing condition,Functional fire extinguisher,Yes,3838,26.7,10/27/2017,
2014-2019,NYC-Kings,Initial visits,Housing condition,Exits function properly,Yes,103,96.3,10/27/2017,"(40.65642, -73.950691)"
2009-2014,Schenectady,Revisits,Housing condition,Deteriorated paint outside,No,23,88.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Oneida,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,283,37.1,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Erie,Revisits,Housing condition,Working carbon monoxide detector,Unknown,6,0.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Oneida,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,1,0.5,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Tioga,Revisits,Housing condition,"Cockroaches, evidence or reported",Unknown,28,54.9,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Orange,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,6,0.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Niagara,Initial visits,Housing condition,Improperly stored flammables,No,1222,93.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Schenectady,Initial visits,Housing information,Renter/owner,"Rent, private",916,70,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Erie,Initial visits,Housing condition,Smell of scented products,Yes,301,10.8,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rockland,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,65,7.5,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Monroe,Initial visits,Respondent demographics,High school diploma or equivalent,No,416,41.8,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Erie,Revisits,Housing condition,Electrical hazards,No,763,98.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Columbia,Initial visits,Housing condition,Smoking limited to certain rooms,Unknown,11,8.3,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Monroe,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,189,19,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Columbia,Revisits,Housing condition,Every room has ventilation,Improved,2,2.9,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Oneida,Revisits,Housing condition,Smell of scented products,Unknown,2,0.9,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Niagara,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,174,5.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Kings,Revisits,Housing condition,Functional fire extinguisher,Unknown,3,9.7,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Rensselaer,Initial visits,Housing condition,Plumbing leaks,Unknown,46,8.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Onondaga,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,14,0.5,10/27/2017,"(43.065629, -76.168033)"
2009-2014,All counties,Revisits,Housing condition,Effective housecleaning,Yes,5403,87.4,10/27/2017,
2009-2014,All counties,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,5379,,10/27/2017,
2014-2019,Schenectady,Revisits,Housing condition,Electrical hazards,Unknown,8,2.6,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Rensselaer,Initial visits,Housing condition,Significant dust accumulation,No,440,82.6,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Onondaga,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,1278,91.7,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Orange,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Improved,2,0.4,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Kings,Revisits,Housing condition,Smoking limited to certain rooms,Yes,4,50,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Onondaga,Initial visits,Housing condition,Deteriorated paint inside,No,2199,80.8,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Broome,Revisits,Housing condition,Smoking allowed in home,Unknown,1,33.3,10/27/2017,"(42.122015, -75.933191)"
2009-2014,Rensselaer,Initial visits,Housing information,Age of building,Pre-1950,1,50,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Niagara,Initial visits,Housing condition,Deteriorated paint outside,Unknown,7,0.3,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Onondaga,Initial visits,Housing condition,Chemical smell indoors,Yes,45,3.2,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Monroe,Initial visits,Housing information,Age of building,Unknown,266,10.2,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Orange,Initial visits,Housing information,Renter/owner,Own,63,6.7,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing information,Units in building,Unknown,414,1.5,10/27/2017,
2009-2014,Niagara,Revisits,Housing condition,"Mice, evidence or reported",Improved,104,7.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Oneida,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",No,180,23.6,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Westchester,Revisits,Housing condition,Roofing or structural leaks,Unknown,10,9.3,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Cayuga,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,21,1.8,10/27/2017,"(42.940095, -76.560755)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Deteriorated paint outside,Yes,1,12.5,10/27/2017,"(40.726966, -74.005966)"
2014-2019,Onondaga,Revisits,Housing condition,Significant clutter,Yes,19,2.4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Clinton,Initial visits,Respondent demographics,Race: Black,Black/African American,36,2.2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Tompkins,Revisits,Housing condition,Electrical hazards,Improved,13,3.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Cayuga,Initial visits,Housing condition,Smoking allowed in home,Unknown,3,0.7,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Orange,Revisits,Housing condition,Improperly stored garbage near building,Yes,22,4.8,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Monroe,Initial visits,Housing condition,Significant clutter,Yes,181,6.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Albany,Revisits,Housing condition,Every room has ventilation,Unknown,34,14.6,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Tioga,Revisits,Housing condition,Furnace filter dirty or missing,Yes,3,5.9,10/27/2017,"(42.120252, -76.29595)"
2006-2009,Orange,Initial visits,Respondent demographics,Race: Other not specified,Other not specified,40,4.3,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Bronx,Initial visits,Respondent demographics,Race: White,White,10,4.6,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Cortland,Initial visits,Housing condition,Significant dust accumulation,No,815,91,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Columbia,Revisits,Housing condition,Deteriorated paint inside,Not applicable,32,,10/27/2017,"(42.276913, -73.682168)"
2014-2019,NYC-Kings,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,95,88.8,10/27/2017,"(40.65642, -73.950691)"
2014-2019,All counties,Initial visits,Housing condition,"Rats, evidence or reported",No,26390,97.2,10/27/2017,
2014-2019,Broome,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,2,0.2,10/27/2017,"(42.122015, -75.933191)"
2009-2014,Rockland,Initial visits,Housing condition,Deteriorated paint outside,Yes,35,2.5,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Tompkins,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,298,70.8,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Albany,Initial visits,Housing condition,Effective housecleaning,Yes,626,89.2,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Oneida,Initial visits,Housing condition,Every room has ventilation,Yes,1049,96.6,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Rockland,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,237,94.8,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Columbia,Revisits,Housing condition,Functional smoke detector on every floor,Yes,52,75.4,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Niagara,Initial visits,Housing condition,Deteriorated paint inside,Unknown,74,7.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Tioga,Initial visits,Respondent demographics,Race: Unknown,Unknown,3,0.3,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Tompkins,Initial visits,Housing condition,Smell of scented products,No,1308,89.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tompkins,Initial visits,Housing condition,Residents practice exit drills,No,1103,75.1,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Monroe,Revisits,Housing condition,Every room has ventilation,Unknown,1,0.3,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Schenectady,Revisits,Housing condition,Chemical smell indoors,Yes,1,0.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cortland,Initial visits,Housing condition,Electrical hazards,Yes,24,2.7,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Westchester,Initial visits,Housing condition,Every room has ventilation,Unknown,32,1.6,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Tompkins,Initial visits,Housing condition,Smoking allowed in home,Yes,261,65.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Erie,Initial visits,Housing condition,Exits function properly,No,35,0.9,10/27/2017,"(42.888143, -78.795544)"
2014-2019,All counties,Revisits,Housing condition,"Cockroaches, evidence or reported",Yes,279,4.5,10/27/2017,
2009-2014,Rockland,Revisits,Housing condition,Functional smoke detector on every floor,No,9,3.6,10/27/2017,"(41.127287, -74.017033)"
2014-2019,NYC-Kings,Revisits,Housing condition,Smoking allowed in home,Unknown,1,12.5,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Clinton,Revisits,Housing condition,Improperly stored flammables,Unknown,2,0.4,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Tioga,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,28,54.9,10/27/2017,"(42.120252, -76.29595)"
2006-2009,Rensselaer,Revisits,Housing condition,Exits function properly,Yes,150,99.3,10/27/2017,"(42.70098, -73.628669)"
2009-2014,All counties,Revisits,Housing condition,Deteriorated paint inside,Yes,640,13.8,10/27/2017,
2006-2009,Rockland,Revisits,Housing condition,Smell of scented products,Unknown,1,1.3,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Onondaga,Initial visits,Housing condition,Humidifier or vaporizer used,No,2749,96.6,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,6,0.5,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Onondaga,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,958,68.8,10/27/2017,"(43.065629, -76.168033)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,"Cockroaches, evidence or reported",No,13,81.3,10/27/2017,"(40.726966, -74.005966)"
2014-2019,Rensselaer,Initial visits,Housing condition,Exits function properly,No,42,3.1,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Albany,Revisits,Housing condition,Roofing or structural leaks,Yes,6,2.6,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Onondaga,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,2489,87.5,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Onondaga,Revisits,Housing condition,Smoking limited to certain rooms,No,122,89.1,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Westchester,Initial visits,Housing condition,Improperly stored garbage inside,Yes,40,2.7,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Oneida,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,22,2,10/27/2017,"(43.149482, -75.361773)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Chemical smell indoors,No,106,99.1,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Rockland,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,180,20.8,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cortland,Initial visits,Housing condition,Smell of scented products,No,851,95,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Onondaga,Initial visits,Housing condition,Working carbon monoxide detector,Yes,1511,51.3,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Niagara,Revisits,Housing condition,Improperly stored garbage inside,Improved,1,0.2,10/27/2017,"(43.134634, -78.856419)"
